content,type
　　新华社快讯：墨西哥总统洛佩斯5日通过社交媒体表示，已指示外交部门中止墨西哥与厄瓜多尔的外交关系。 ,国际
"【#AIGC# MV: 美债炸弹滴答响】美债规模“升升”不息，财政赤字屡屡“飘红”，严重影响全球金融稳定，拖累全球经济发展，成为危害全球经济的“定时炸弹”。美国欠债这档事，且听AIGC视频为您呈现。 
新华国际的微博视频
 ",国际
　　新华社快讯：4月4日，国家主席习近平致电米丽娅姆·斯皮泰里·德博诺，祝贺她就任马耳他共和国总统。 ,国际
"【美国政坛奇观｜钱！钱！钱！美国选举真相】想竞选美国总统？先看看自己钱包有多鼓。
　　最近，美国民主、共和两党为了争夺白宫宝座，开启疯狂“圈钱”模式。民主党三任总统同台筹款，一举吸金2500万美元，创下美国历史上单场政治活动最高筹款纪录，令人咋舌。
　　另一边，共和党总统候选人特朗普也不甘示弱，计划4月初在佛罗里达州也搞一场大型筹款活动，目标3300万美元！此前，他甚至亲自“带货”，卖起了跑鞋和香水。 
新华国际的微博视频",国际
　　新华社快讯：据日本广播协会报道，日本福岛县附近海域4日发生6.0级地震。（记者姜俏梅） ,国际
　　新华社快讯：据伊朗国家通讯社报道，伊朗东南部恰巴哈尔一警察局遭袭，至少3名安全人员身亡。（记者孙天朗） ,国际
"【韩国民众雨中惜别大熊猫“#福宝#”】3日上午8时，离位于韩国京畿道龙仁市的爱宝乐园开门还有近2个小时，不少游客已经在雨中排起长队，准备参加一场特殊的送别仪式。当天上午，被亲切称呼为“福公主”的旅韩大熊猫“福宝”从这里出发，踏上回国旅程。
网页链接
 
新华国际的微博视频
 ",国际
　　新华社快讯：津巴布韦总统姆南加古瓦宣布，由于厄尔尼诺现象造成严重干旱，全国进入灾害状态。 ,国际
　　新华社快讯：旅韩大熊猫“福宝”3日上午离开韩国京畿道龙仁市的爱宝乐园，启程返回中国。（记者冯亚松） ,国际
　　新华社马尼拉4月3日电（记者刘锴　王晓薇）菲律宾火山地震研究所3日上午发布海啸预警，要求多个省份沿海地区居民立即撤离到地势较高的地方或向内陆转移。（完） ,国际
　　新华社东京4月3日电（记者姜俏梅）日本气象厅发布的信息显示，海啸当地时间3日9时18分抵达冲绳县与那国岛，浪高0.3米。（完） ,国际
　　新华社快讯：据日本广播协会报道，日本气象厅3日面向宫古岛、冲绳本岛等地发布海啸警报，预计浪高3米。（记者姜俏梅） ,国际
新华社快讯：据朝中社3日报道，朝鲜2日成功试射“火星炮-16B”型中远程高超音速弹道导弹。（记者王超） ,国际
　　新华社快讯：习近平同美国总统拜登通电话。 ,国际
"#洋洋大观#【这个春天，故宫有点“凡尔赛”】东风送暖，春回京城。故宫文华殿内，一件件瓷器、一幅幅画作被小心翼翼地从层层包裹中取出，“唤醒”两三百年前中国与法国文化交往的历史记忆。
　　在中法建交60周年之际，《紫禁城与凡尔赛宫——17、18世纪的中法交往》展览于4月至6月在故宫博物院举办。展览精选约200件展品，多数收藏于凡尔赛宫和故宫博物院，涵盖瓷器、绘画、书籍等多种类型。 
新华国际的微博视频",国际
"【医政对峙两个月，韩国总统为什么突然道歉了？】韩国总统尹锡悦4月1日就医学院扩招及医疗改革发表讲话，对未能及时化解医疗界“罢工潮”给国民带来不便深表歉意。尹锡悦说，若医疗界能给出更妥当、合理的方案，政府将持开放态度进行讨论。
 自韩国政府今年2月公布医科大学扩招方案后，大批医院医生罢工、医学院学生罢课，医学院教授也提出集体辞职，造成诊疗混乱。政府和医疗界的对峙已经持续两个月，双方一直态度强硬、互不相让，为何总统此时突然道歉？是不是政府要让步？这场对峙又将如何收场？新华社记者为您解局：
网页链接",国际
"【#独家专访# 欧伦斯：“我爱中国，因为我爱美国”】长期致力于推动美中友好的美中关系全国委员会会长斯蒂芬·欧伦斯日前在上海接受新华社记者专访时表示，美中发展建设性关系不仅造福两国人民，也会让世界变得更好，双方应聚焦可以合作的领域，继续加强民间交往。 
新华国际的微博视频
 ",国际
新华社快讯：巴勒斯坦伊斯兰抵抗运动（哈马斯）媒体办公室1日晚发表声明说，以色列军队当天空袭加沙地带中部导致多名外国人死亡。（记者柳伟建） ,国际
新华社快讯：据日本广播协会报道，日本岩手县沿海地区2日发生6.1级地震。（记者姜俏梅） ,国际
