content,type
"小调查：你怎么看#以总理称以色列能否取胜关乎美国安全# #拜登要求以色列立即停火# 
 
网页链接
 ",军事
"#俄称中国所提解决乌问题倡议最合理#【俄外长拉夫罗夫：中国“和平方案”是目前最明确、最合理的】俄乌冲突已进入第三个年头，仍不见“熄火”迹象。今年以来，通过谈判来解决冲突的呼声也日益高涨。
据俄新社4日报道，俄罗斯外交部长拉夫罗夫告诉记者，中国提出的解决乌克兰问题的倡议是迄今为止最明确、最合理的方案。
“中国早在去年就提出了最明确的计划——12点立场文件。我们的中国朋友说，首先希望各方就这些原则达成一致。”拉夫罗夫说。
他称，与乌克兰总统泽连斯基提出的“和平计划”不同，中国的“和平方案”的内容是相互关联、互为制约的。在拉夫罗夫看来，泽连斯基的和平方案则是“一份菜单”，“你可以从中选择你想要的”。
此前，乌克兰外交部长库列巴在接受印度媒体采访时就曾以“菜单”一词来形容乌总统的和平方案，他解释称，这是为了方便“任何国家可以选择愿意推进的具体项目”。《基辅邮报》对此评论称，这是乌克兰“吸引‘全球南方’国家的正确做法”。
据报道，拉夫罗夫表示，对俄罗斯来说最重要的是，中国的“和平方案”是基于对目前局势原因以及消除这些根本原因必要性的分析，构建得符合逻辑，“尽管有人认为这个方案不具体，但这是伟大的中华文明提出供讨论的合理方案”。（观察者网） 
新浪军事的微博视频",军事
"#美方要求耶伦就餐时大厅打开隔断#【耶伦访华第一餐粤菜菜单曝光，美方要求餐厅打开隔断】4月4日，耶伦在广州陶陶居品尝正宗的广府美食。美领馆方面要求在大厅并打开屏风隔断，与广州市民一起就餐。美领馆陪同人员反馈耶伦吃的非常满意，很开心。 
耶伦访华第一餐粤菜菜单曝光，美方要求餐厅打开隔断
 ",军事
"#美国情报部门称伊朗将攻击以色列#【美称伊朗的报复在路上 #美称伊朗48小时内或袭以#】外媒报道，美国情报部门称伊朗将在48小时内攻击以色列。报道称伊朗正在将伊斯兰革命卫队的导弹运往作战阵地。以色列军方当地时间4月3日宣布，决定征召预备役士兵加强防空力量，以媒称以军此举是为了应对伊朗。（看看新闻）
看看新闻全球眼的微博视频",军事
"#拜登要求以色列立即停火# 你认为以色列会停火吗？ 
 
网页链接
 ",军事
【#何立峰在广州会见耶伦#】2024年4月5日下午，中共中央政治局委员、国务院副总理何立峰在广州会见美财政部部长珍妮特·耶伦。 ,军事
#俄称瑞典要建北约基地是挑衅行为#【俄官员：北约基地出现在瑞典哥得兰岛将给波罗的海地区造成新威胁】当地时间4月5日，俄新社援引俄罗斯外交部官员的话报道称，瑞典计划在哥得兰岛建立北约基地，这将使波罗的海演变成地缘政治对抗之所，类似的挑衅行为将给地区海上航运安全和经济活动造成新威胁。（央视）#瑞典拟在哥得兰岛建立北约基地#,军事
"“标枪”反坦克导弹全细节展示！#硬核军迷# 
新浪军事的微博视频
 ",军事
"【#以色列总理威胁伊朗#：敢报复就坐等地狱】近日，#以总理威胁伊朗敢报复就坐等地狱# 你怎么看？ 
 
网页链接
 ",军事
"#台媒曝台积电抗震神器达美军级别#【晶英酒店员工猛摇红旗 躲避一夜后脱困】3日的地震造成台湾东部的台八线中横公路交通中断。当时，太鲁阁晶英酒店50名员工分搭4辆车上山上班，途中遭遇强震，一度失联。4日上午，搜救人员出动航拍机探勘沿途灾情，在九曲洞附近发现一群受困民众猛摇红旗、挥手求救。包括酒店员工及游客共计71人，在躲避一整夜后终于脱险。不过，据悉，至今太鲁阁山区仍有93人受困，52人失联，搜救队出动200人持续抢救。#台湾花莲地震已致12人遇难#（直新闻）
直新闻的微博视频",军事
"冷知识：成语“蛛丝马迹”中的马指的是哪种动物？ 
 
网页链接
 ",军事
"#美施压要阿斯麦停止维护在华部分设备#【外媒：美将施压荷兰，要求阿斯麦在华停止对一些工具设备提供维护服务 中使馆回应】路透社当地时间4日援引两位知情人士的话发布“消息报道”称，拜登政府计划下周向荷兰施压，意图阻止荷兰光刻机生产企商阿斯麦（ASML）在中国提供一些工具设备的维护服务。
路透社报道称，据知情人士消息，负责美国政府出口政策的艾伦·埃斯特维兹（Alan Estevez）计划下周一在荷兰会见荷兰政府及ASML代表，讨论有关维护服务的合同问题。在此期间，华盛顿可能还会寻求增加一份禁止接收荷兰工具设备的中国芯片制造商的名单。  
外媒：美将施压荷兰，要求阿斯麦在华停止对一些工具设备提供维护服务",军事
"伊朗是中东少有的拥有较完整军工体系的国家，大家知道以下哪款步枪是伊朗制造的吗？#硬核军迷# 
 
网页链接
 ",军事
"#法防长放话出兵援乌又要联俄反恐#【法国防长有意思：刚说要出兵援乌，又说要联俄反恐】#法国为何联俄反恐#俄罗斯国防部发布消息称，当地时间4月3日，俄国防部长绍伊古应邀与法国国防部长勒科尔尼通电话。参考消息转引了法新社的一条消息稿，其中提到，勒科尔尼在电话会谈中重申，法国愿意与俄罗斯在打击恐怖主义方面加强交流。 
刚说要出兵援助乌克兰，突然又称要联合俄罗斯共同反恐。法国国防部长塞巴斯蒂安·勒科尔尼这是唱的哪一出呢？甚或，海叔要说，法国这是唱的哪一出？其实，耐人寻味。 
法国防长有意思：刚说要出兵援乌，又说要联俄反恐",军事
"#清澈的爱我们一直记得#【看哭了！戍边英雄未实现的心愿】如果你还在，或许会陪儿子放风筝；如果你还在，或许还是觉得橘子吃不够；如果你还在，或许和心爱的姑娘举行了婚礼；如果你还在，或许能常陪奶奶视频聊天。戍边英雄未实现的心愿……看哭了！清澈的爱，家国永念。#家国永念致敬英雄#@人民网 
人民网的微博视频",军事
"【90后警察告诉你一个冷知识】#致敬公安英雄# “（我们）是世界上第一支也是唯一一支在警察名称前加了‘人民’二字的警察队伍。”“我今年90岁，但我觉得我还年轻！”这位“年轻”的“90后”警察，有许多肺腑之言想对你说，戳视频，一起聆听！#丈夫牺牲后警号由妻子重启# 
央视一套的微博视频
 ",军事
"#台湾花莲地震已致12人遇难#【台湾地震已致12人遇难1106人受伤】综合台灾害应变中心及岛内媒体报道，截至5日12时，花莲地震已造成12人遇难、1106人受伤，受困682人，失联人数降为16人。该中心当日稍早举行第七次工作会议，介绍相关救援及损失情况。台8线灾区现场余震不断，影响救灾安全及进度。#台湾地震仍有16人失联#另据央视新闻报道，据台湾气象部门消息，4月5日台湾花莲近海先后发生两次地震。12时40分，台湾花莲近海发生4.7级地震，震源深度8.6公里。12时50分，台湾花莲近海发生5.4级地震，震源深度8.3公里。#台湾花莲海域再发4.8级地震#相关报道：【地震导致严重倾斜，台湾花莲天王星大楼被拆除】
据央视新闻：台湾花莲县海域7.3级地震发生后，花莲天王星大楼受损严重并发生倾斜。今天上午，对这座大楼的拆除作业已经开始。
总台记者 赵超逸：我现在是在台湾花莲的天王星大楼前，可以看到天王星大楼的拆除工程正在进行，目前需要将支撑的钢梁架在天王星大楼上进行稳固，随后先拆除大楼的玻璃部分，最后是从顶部的水塔开始逐层向下拆除。为了确保拆除过程中不会波及两侧的楼房，目前已经是在大楼的两侧架起了脚手架，同时楼房内的居民也已经提前迁出。这栋大楼是建于1986年，到现在已经有38年的历史了，相关人员表示从昨天晚上开始，这栋大楼的倾斜角度没有继续增加，因此拆除作业大约在两周内结束。",军事
"中途岛海战中，一位美军飞行员驾驶轰炸机连续重创两艘日军航母，成为军事史上单日击伤两艘航母的的两名飞行员之一，大家知道他是谁吗？#硬核军迷#   
 
网页链接
 ",军事
"【#以色列总理威胁伊朗#：敢报复就坐等地狱】近日，以色列总理内塔尼亚胡公开发出威胁，称伊朗如果袭击以色列，将迎来地狱般的下场。#以总理威胁伊朗敢报复就坐等地狱#内塔尼亚胡指出，“多年来，伊朗一直直接或通过其代理人与我们作对，因此以色列同时在攻防两端与伊朗及其代理人对抗”。他警告称，“我们知道如何保护自己，我们将按照此简单的原则行事，无论谁加害我们或计划加害我们，我们都会对其造成重创”。(今日俄罗斯RT) #拜登要求以色列立即停火# 
今日俄罗斯RT的微博视频",军事
"【#以军枪杀捡物资巴平民# #巴平民中枪后起身捡起物资#】领援助物资被以军枪杀的巴勒斯坦平民：中枪后仍努力起身捡起物资（青蜂侠） 
新浪军事的微博视频
 ",军事
